Character,Form,Collection,ModelId,Kind,OfficialUrl,SHA256,ClipMapping,Transform,Destination
KagetoraLancer,Nagao Kagetora,252,303800,UnityFS bundle,https://static.atlasacademy.io/JP/Servants/303800/303800,29823984DBCAB99084C8E7542327B55E35A0115C9DED7E4DA3DFC2B608E8FCEA,"wait:0-154/2;attack_q:12-47/1;spell:0-42/2;damage_01:0-16/1","shared crop 12,0,2036,1712; ground 1679.36; pivot -70.7,-316.1; flip_h; limit 768",KagetoraLancer/KagetoraLancer/character/frames_kagetora
KagetoraLancer,Nagao Kagetora,252,303800,Texture atlas,https://static.atlasacademy.io/JP/Servants/303800/textures/303800.png,780A4BF1C75939BE471F3792EDEE2DD3FCDB723029DD0964B24B05803C613D2A,same as bundle,"rendered from official rig; WebP VRAM lossy 0.85; mipmaps",KagetoraLancer/KagetoraLancer/character/kagetora_frames.tres
KagetoraLancer,Uesugi Kenshin,400,901820,UnityFS bundle,https://static.atlasacademy.io/JP/Servants/901820/901820,7AE0C08DB76B4E7E7D29340726E381FED37FA07ADDA4978FD87C3BAEA2EC9829,"wait:0-154/2;attack_a:0-20/1+56-70/1;spell:0-42/2;damage_01:0-16/1","shared crop 12,0,2036,1712; ground 1679.36; pivot 37.4,-303.6; flip_h; limit 768",KagetoraLancer/KagetoraLancer/character/frames_kenshin
KagetoraLancer,Uesugi Kenshin,400,901820,Texture atlas,https://static.atlasacademy.io/JP/Servants/901820/textures/901820.png,7B88BB9D1715F8CB362447D307AD65F5EF2C10642F33220CCCBC7859D1CB1F15,same as bundle,"rendered from official rig; WebP VRAM lossy 0.85; mipmaps",KagetoraLancer/KagetoraLancer/character/kenshin_frames.tres
