project,form,collection_no,model_id,asset_type,source_url,sha256,clips,transform,destination
ShutenDouji,Assassin,112,602100,UnityFS bundle,https://static.atlasacademy.io/JP/Servants/602100/602100,930D5BAC00E5419A74F3841750C8E65B402A9B4D7FA967A00CBDC4AB429B5943,"wait:0-154/2;attack_q:0-57/1;spell:0-79/2;damage_01:0-16/1","crop 0,274,2025,1430; ground 1405.36; pivot 15.8,-261.3; flip_h; limit 768",ShutenDouji/ShutenDouji/character/frames
ShutenDouji,Assassin,112,602100,Texture atlas,https://static.atlasacademy.io/JP/Servants/602100/textures/602100.png,0AA40949AD61ACD23C6DA325A088A518D6A86A60BB76C9C8EFB777ECB5E3EDFD,"same as bundle","rendered from official rig; WebP lossy 0.90; runtime VRAM import with mipmaps",ShutenDouji/ShutenDouji/character/shuten_frames.tres
ShutenDouji,Assassin,112,602100,Animated FBX,derived from official UnityFS bundle,078C7D7336E37E195574615EEE329E471520B6C0749262D7FF2740333E984982,19 clips,AssetStudioAnimatorExport CLI,assets/reference/extracted/602100_anim/Animator/chr/chr.fbx
ShutenDouji,Caster,225,504000,UnityFS bundle,https://static.atlasacademy.io/JP/Servants/504000/504000,8C1E0320A0379589378AD6A92387B97B848C212420C6E2CB35A732FCA3856BA5,35 clips,extracted and retained as an optional future cosmetic source,assets/reference/bundles/504000.bundle
ShutenDouji,Caster,225,504000,Texture atlas,https://static.atlasacademy.io/JP/Servants/504000/textures/504000.png,F7E9F6B243EA6007D40C7D6016058FF8DB1A0E99FDFC91959E62422C54255261,35 clips,source only; not packed in the current mod,assets/reference/bundles/504000.png
ShutenDouji,Caster,225,504000,Animated FBX,derived from official UnityFS bundle,385D0F06092028E60DF511A5D0193391247C00A5844E554C5C14A1F3B67AF0AC,35 clips,AssetStudioAnimatorExport CLI; not packed in the current mod,assets/reference/extracted/504000_anim/Animator/chr/chr.fbx
